#1 arg remaining, starting with 'babymonitor/1_1.pcap'
#Ostermann's tcptrace -- version 6.6.7 -- Thu Nov  4, 2004

#332 packets seen, 312 TCP packets traced
#elapsed wallclock time: 0:00:00.943305, 351 pkts/sec analyzed
#trace file elapsed time: 0:00:35.145586
#TCP connection info:
#20 TCP connections traced:
conn_#,host_a,host_b,port_a,port_b,first_packet,last_packet,total_packets_a2b,total_packets_b2a,resets_sent_a2b,resets_sent_b2a,ack_pkts_sent_a2b,ack_pkts_sent_b2a,pure_acks_sent_a2b,pure_acks_sent_b2a,sack_pkts_sent_a2b,sack_pkts_sent_b2a,dsack_pkts_sent_a2b,dsack_pkts_sent_b2a,max_sack_blks/ack_a2b,max_sack_blks/ack_b2a,unique_bytes_sent_a2b,unique_bytes_sent_b2a,actual_data_pkts_a2b,actual_data_pkts_b2a,actual_data_bytes_a2b,actual_data_bytes_b2a,rexmt_data_pkts_a2b,rexmt_data_pkts_b2a,rexmt_data_bytes_a2b,rexmt_data_bytes_b2a,zwnd_probe_pkts_a2b,zwnd_probe_pkts_b2a,zwnd_probe_bytes_a2b,zwnd_probe_bytes_b2a,outoforder_pkts_a2b,outoforder_pkts_b2a,pushed_data_pkts_a2b,pushed_data_pkts_b2a,SYN/FIN_pkts_sent_a2b,SYN/FIN_pkts_sent_b2a,req_1323_ws/ts_a2b,req_1323_ws/ts_b2a,adv_wind_scale_a2b,adv_wind_scale_b2a,req_sack_a2b,req_sack_b2a,sacks_sent_a2b,sacks_sent_b2a,urgent_data_pkts_a2b,urgent_data_pkts_b2a,urgent_data_bytes_a2b,urgent_data_bytes_b2a,mss_requested_a2b,mss_requested_b2a,max_segm_size_a2b,max_segm_size_b2a,min_segm_size_a2b,min_segm_size_b2a,avg_segm_size_a2b,avg_segm_size_b2a,max_win_adv_a2b,max_win_adv_b2a,min_win_adv_a2b,min_win_adv_b2a,zero_win_adv_a2b,zero_win_adv_b2a,avg_win_adv_a2b,avg_win_adv_b2a,initial_window_bytes_a2b,initial_window_bytes_b2a,initial_window_pkts_a2b,initial_window_pkts_b2a,ttl_stream_length_a2b,ttl_stream_length_b2a,missed_data_a2b,missed_data_b2a,truncated_data_a2b,truncated_data_b2a,truncated_packets_a2b,truncated_packets_b2a,data_xmit_time_a2b,data_xmit_time_b2a,idletime_max_a2b,idletime_max_b2a,hardware_dups_a2b,hardware_dups_b2a,throughput_a2b,throughput_b2a,

1,192.168.1.122,10.215.173.2,38102,853,1681867055.342773 , 1681867069.609727 ,              4,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              3,              0,              3,              0,              0,              0,              0,              0,              0,              0,              0,              0,            4/0,            0/0,            Y/Y,            N/N,              8,              0,              Y,              N,              0,              0,              0,              0,              0,              0,           1220,              0,              0,              0,              0,              0,              0,              0,          65535,              0,          65535,              0,              0,              0,          65535,              0,              0,              0,              0,              0,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.000,          0.000,        20878.6,             NA,              0,              0,              0,              0,
2,10.215.173.1,ec2-54-200-34-119.us-west-2.compute.amazonaws.com,38770,443,1681867057.796268 , 1681867058.747546 ,             30,             31,              0,              0,             29,             31,             10,             15,              0,              0,              0,              0,              0,              0,          54956,          13073,             19,             15,          54956,          13073,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,             15,             14,            1/0,            1/0,            Y/Y,            Y/N,              8,              8,              Y,              N,              0,              0,              0,              0,              0,              0,           9960,           9960,           9960,           4547,             38,             38,           2892,            871,         189184,         524288,          65536,         475648,              0,              0,         133508,         517742,            517,           4547,              1,              1,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.844,          0.856,        31740.8,        31740.9,              0,              0,          57771,          13743,
3,10.215.173.1,ec2-54-200-34-119.us-west-2.compute.amazonaws.com,38784,443,1681867057.829544 , 1681867057.956056 ,              8,              8,              0,              1,              7,              8,              3,              3,              0,              0,              0,              0,              0,              0,            813,           4787,              4,              3,            813,           4787,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              4,              3,            1/1,            1/0,            Y/Y,            Y/N,              8,              8,              Y,              N,              0,              0,              0,              0,              0,              0,           9960,           9960,            517,           2986,             53,            240,            203,           1595,         111360,         524288,          65536,         523520,              0,              0,          92891,         449206,            517,           1561,              1,              1,            813,             NA,              0,             NA,              0,              0,              0,              0,          0.085,          0.042,           41.5,           38.9,              0,              0,           6426,          37838,
4,10.215.173.1,59.82.112.196,42772,443,1681867057.842428 , 1681867059.451840 ,              8,              6,              0,              0,              7,              6,              4,              2,              0,              0,              0,              0,              0,              0,            458,            542,              3,              3,            458,            542,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              3,              3,            1/0,            1/0,            Y/Y,            Y/N,              8,              8,              Y,              N,              0,              0,              0,              0,              0,              0,           9960,           9960,            394,            328,             24,             40,            152,            180,          67840,         524288,          65536,         523776,              0,              0,          67035,         524134,            394,            174,              1,              1,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.274,          1.026,        31036.5,        31075.6,              0,              0,            285,            337,
5,10.215.173.1,ec2-44-238-208-26.us-west-2.compute.amazonaws.com,42248,8883,1681867057.905589 , 1681867058.195273 ,             12,             13,              0,              0,             11,             13,              6,              5,              0,              0,              0,              0,              0,              0,           1033,           4657,              5,              7,           1033,           4657,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              5,              7,            1/0,            1/0,            Y/Y,            Y/N,              8,              8,              Y,              N,              0,              0,              0,              0,              0,              0,           9960,           9960,            534,           2639,             50,             33,            206,            665,         110848,         524288,          65536,         523520,              0,              0,          95697,         524138,            255,            100,              1,              1,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.154,          0.169,        32293.1,        32332.3,              0,              0,           3566,          16076,
6,10.215.173.1,47.246.109.108,48238,443,1681867058.134684 , 1681867058.712502 ,              8,              9,              1,              0,              7,              9,              2,              4,              0,              0,              0,              0,              0,              0,           2711,           3801,              4,              3,           2711,           3801,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              4,              3,            1/0,            1/1,            Y/Y,            Y/N,              8,              8,              Y,              N,              0,              0,              0,              0,              0,              0,           9960,           9960,           2070,           3299,             31,            228,            677,           1266,          98816,         524288,          65536,          65280,              0,              0,          69485,         466208,            517,           3299,              1,              1,             NA,           3801,             NA,              0,              0,              0,              0,              0,          0.389,          0.196,          191.5,          189.1,              0,              0,           4692,           6578,
7,10.215.173.1,47.254.95.248,48578,80,1681867058.166710 , 1681867068.184128 ,             19,             21,              0,              0,             18,             21,              8,             10,              0,              0,              0,              0,              0,              0,           6899,           5856,             10,             10,           6899,           5856,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,             10,             10,            1/0,            1/0,            Y/Y,            Y/N,              8,              8,              Y,              N,              0,              0,              0,              0,              0,              0,           9960,           9960,            862,            893,            605,            489,            689,            585,          82688,         524288,          65536,         523264,              0,              0,          74097,         523878,            773,            500,              1,              1,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          9.914,          9.637,        22304.2,        22304.5,              0,              0,            689,            585,
8,10.215.173.1,59.82.29.249,40940,443,1681867058.208770 , 1681867059.89331 ,              8,              8,              0,              0,              7,              8,              4,              3,              0,              0,              0,              0,              0,              0,            871,           3923,              3,              4,            871,           3923,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              3,              4,            1/0,            1/0,            Y/Y,            Y/N,              8,              8,              Y,              N,              0,              0,              0,              0,              0,              0,           9960,           9960,            596,           2920,             93,            274,            290,            980,         103168,         524288,          65536,         523520,              0,              0,          84845,         523995,            182,           2920,              1,              1,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.331,          0.327,        31399.0,        31399.5,              0,              0,            989,           4455,
9,10.215.173.1,47.254.95.248,48588,80,1681867058.392380 , 1681867066.156905 ,             16,             17,              0,              0,             15,             17,              7,              8,              0,              0,              0,              0,              0,              0,           5060,           4505,              8,              8,           5060,           4505,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              8,              8,            1/0,            1/0,            Y/Y,            Y/N,              8,              8,              Y,              N,              0,              0,              0,              0,              0,              0,           9960,           9960,            695,            765,            605,            489,            632,            563,          77824,         524288,          65536,         523520,              0,              0,          71372,         523904,            608,            765,              1,              1,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          7.675,          7.684,        24331.5,        24332.1,              0,              0,            652,            580,
10,10.215.173.1,47.254.95.248,48590,80,1681867058.674399 , 1681867058.788205 ,              4,              3,              0,              0,              3,              3,              2,              1,              0,              0,              0,              0,              0,              0,            602,            605,              1,              1,            602,            605,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              1,              1,            1/0,            1/0,            Y/Y,            Y/N,              8,              8,              Y,              N,              0,              0,              0,              0,              0,              0,           9960,           9960,            602,            605,            602,            605,            601,            604,          66816,         524288,          65536,         523520,              0,              0,          65962,         523904,            602,            605,              1,              1,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.000,          0.000,        31700.2,        31700.5,              0,              0,           5290,           5316,
11,10.215.173.1,47.254.95.248,48606,80,1681867058.676550 , 1681867058.767638 ,              4,              3,              0,              0,              3,              3,              2,              1,              0,              0,              0,              0,              0,              0,            607,            525,              1,              1,            607,            525,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              1,              1,            1/0,            1/0,            Y/Y,            Y/N,              8,              8,              Y,              N,              0,              0,              0,              0,              0,              0,           9960,           9960,            607,            525,            607,            525,            606,            524,          66816,         524288,          65536,         523520,              0,              0,          65962,         523904,            607,            525,              1,              1,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.000,          0.000,        31720.7,        31721.0,              0,              0,           6664,           5764,
12,10.215.173.1,47.254.95.248,48620,80,1681867058.680746 , 1681867058.770687 ,              4,              3,              0,              0,              3,              3,              2,              1,              0,              0,              0,              0,              0,              0,            607,            525,              1,              1,            607,            525,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              1,              1,            1/0,            1/0,            Y/Y,            Y/N,              8,              8,              Y,              N,              0,              0,              0,              0,              0,              0,           9960,           9960,            607,            525,            607,            525,            606,            524,          66816,         524288,          65536,         523520,              0,              0,          65962,         523904,            607,            525,              1,              1,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.000,          0.000,        31717.7,        31718.0,              0,              0,           6749,           5837,
13,10.215.173.1,47.246.109.108,48240,443,1681867058.716087 , 1681867059.347330 ,              8,              9,              1,              0,              7,              9,              2,              4,              0,              0,              0,              0,              0,              0,           3065,           3893,              4,              3,           3065,           3893,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              4,              3,            1/0,            1/1,            Y/Y,            Y/N,              8,              8,              Y,              N,              0,              0,              0,              0,              0,              0,           9960,           9960,           2424,           3299,             31,            274,            766,           1297,          98816,         524288,          65536,          65280,              0,              0,          69485,         466464,            517,           3299,              1,              1,             NA,           3893,             NA,              0,              0,              0,              0,              0,          0.423,          0.213,          209.2,          208.3,              0,              0,           4855,           6167,
14,10.215.173.1,129.226.103.217,46904,443,1681867060.470689 , 1681867061.32861 ,              7,              7,              0,              0,              6,              7,              3,              3,              0,              0,              0,              0,              0,              0,           1421,           5821,              3,              3,           1421,           5821,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              3,              3,            1/0,            1/0,            Y/Y,            Y/N,              8,              8,              Y,              N,              0,              0,              0,              0,              0,              0,           9960,           9960,           1142,           5170,             93,            290,            473,           1939,         106240,         524288,          65536,         523008,              0,              0,          82304,         523776,            186,           5170,              1,              1,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.191,          0.201,        29455.5,        29456.8,              0,              0,           2528,          10354,
15,10.215.173.1,203.119.205.153,49264,443,1681867061.103789 , 1681867076.436279 ,              5,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              4,              0,              4,              0,              0,              0,              0,              0,              0,              0,              0,              0,            5/0,            0/0,            Y/Y,            N/N,              8,              0,              Y,              N,              0,              0,              0,              0,              0,              0,           9960,              0,              0,              0,              0,              0,              0,              0,          65535,              0,          65535,              0,              0,              0,          65535,              0,              0,              0,              0,              0,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.000,          0.000,        14052.1,             NA,              0,              0,              0,              0,
16,10.215.173.1,59.82.112.156,40626,80,1681867065.795153 , 1681867066.607426 ,              4,              3,              0,              0,              3,              3,              2,              1,              0,              0,              0,              0,              0,              0,            394,            486,              1,              1,            394,            486,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              1,              1,            1/0,            1/0,            Y/Y,            Y/N,              8,              8,              Y,              N,              0,              0,              0,              0,              0,              0,           9960,           9960,            394,            486,            394,            486,            393,            485,          66816,         524288,          65536,         523776,              0,              0,          65962,         524032,            394,            486,              1,              1,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.000,          0.000,        23880.9,        23881.4,              0,              0,            485,            598,
17,10.215.173.1,203.119.205.153,40296,443,1681867069.483150 , 1681867084.758525 ,              5,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              4,              0,              4,              0,              0,              0,              0,              0,              0,              0,              0,              0,            5/0,            0/0,            Y/Y,            N/N,              8,              0,              Y,              N,              0,              0,              0,              0,              0,              0,           9960,              0,              0,              0,              0,              0,              0,              0,          65535,              0,          65535,              0,              0,              0,          65535,              0,              0,              0,              0,              0,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.000,          0.000,         8109.8,             NA,              0,              0,              0,              0,
18,10.215.173.1,203.119.205.153,46038,443,1681867081.132485 , 1681867088.382820 ,              4,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              3,              0,              3,              0,              0,              0,              0,              0,              0,              0,              0,              0,            4/0,            0/0,            Y/Y,            N/N,              8,              0,              Y,              N,              0,              0,              0,              0,              0,              0,           9960,              0,              0,              0,              0,              0,              0,              0,          65535,              0,          65535,              0,              0,              0,          65535,              0,              0,              0,              0,              0,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.000,          0.000,         4053.4,             NA,              0,              0,              0,              0,
19,10.215.173.1,203.119.205.153,41042,443,1681867089.492192 , 1681867090.488360 ,              2,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              1,              0,              1,              0,              0,              0,              0,              0,              0,              0,              0,              0,            2/0,            0/0,            Y/Y,            N/N,              8,              0,              Y,              N,              0,              0,              0,              0,              0,              0,           9960,              0,              0,              0,              0,              0,              0,              0,          65535,              0,          65535,              0,              0,              0,          65535,              0,              0,              0,              0,              0,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.000,          0.000,          996.2,             NA,              0,              0,              0,              0,
20,10.215.173.1,nuq04s42-in-f10.1e100.net,48470,443,1681867089.864136 , 1681867089.898713 ,              6,              5,              0,              0,              5,              5,              2,              3,              0,              0,              0,              0,              0,              0,           1895,            162,              3,              1,           1895,            162,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              3,              1,            1/0,            1/0,            Y/Y,            Y/N,              8,              8,              Y,              N,              0,              0,              0,              0,              0,              0,           9960,           9960,           1327,            162,             51,            162,            631,            161,          66816,         524288,          65536,         522752,              0,              0,          66304,         523648,            517,            162,              1,              1,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.024,          0.000,          589.8,          589.6,              0,              0,          54805,           4685,
